	Borough	Postcode
1431	Manhattan	10003
1432	Queens	11385
1433	Manhattan	10013
1434	Manhattan	10023
1435	Manhattan	10028
1436	Brooklyn	11234
1437	Brooklyn	11205
1438	Manhattan	10001
1439	Queens	11354
1440	Manhattan	10012
1441	Manhattan	10021
1442	Manhattan	10011
1443	Manhattan	10027
1444	Bronx	10458
1445	Manhattan	10019
1446	Manhattan	10032
1447	Queens	11105
1448	Queens	11385
1449	Bronx	10465
1450	Brooklyn	11220
1451	Staten Island	10301
1452	Manhattan	10002
1453	Manhattan	10034
1454	Brooklyn	11249
1455	Queens	11418
1456	Queens	11354
1457	Manhattan	10001
1458	Brooklyn	11211
1459	Bronx	91206
1460	Queens	11104
1461	Brooklyn	11237
1462	Bronx	10470
1463	Brooklyn	11238
1464	Brooklyn	11237
1465	Brooklyn	11222
1466	Queens	11417
1467	Manhattan	10065
1468	Brooklyn	11215
1469	Queens	11103
1470	Queens	11354
1471	Manhattan	10014
1472	Brooklyn	11238
1473	Manhattan	10036
1474	Staten Island	10302
1475	Manhattan	10016
1476	Bronx	10458
1477	Queens	11369
1478	Manhattan	10022
1479	Manhattan	10010
1480	Manhattan	10029
1481	Manhattan	10024
1482	Brooklyn	11205
1483	Brooklyn	11206
1484	Manhattan	10014
1485	Manhattan	10011
1486	Manhattan	10019
1487	Manhattan	10033
1488	Brooklyn	11217
1489	Brooklyn	11211
1490	Manhattan	10028
1491	Manhattan	10022
1492	Manhattan	10021
1493	Manhattan	10018
1494	Brooklyn	11201
1495	Brooklyn	11221
1496	Manhattan	10024
1497	Manhattan	10016
1498	Manhattan	10019
1499	Brooklyn	11249
1500	Queens	11103
1501	Brooklyn	11214
1502	Manhattan	10014
1503	Manhattan	10018
1504	Manhattan	10034
1505	Manhattan	10021
1506	Brooklyn	11229
1507	Manhattan	10011
1508	Queens	11375
1509	Manhattan	10011
1510	Manhattan	10003
1511	Brooklyn	11238
1512	Bronx	10463
1513	Brooklyn	11222
1514	Manhattan	11416
1515	Manhattan	10023
1516	Manhattan	10036
1517	Brooklyn	11201
1518	Manhattan	10011
1519	Brooklyn	11201
1520	Brooklyn	11211
1521	Manhattan	10009
1522	Queens	11005
1523	Manhattan	10016
1524	Manhattan	10013
1525	Queens	11373
1526	Brooklyn	11217
1527	Brooklyn	11205
1528	Bronx	10461
1529	Manhattan	10002
1530	Manhattan	10019
1531	Manhattan	10036
1532	Manhattan	10017
1533	Brooklyn	11211
1534	Queens	11102
1535	Staten Island	10310
1536	Manhattan	10031
