	Facility #	Facility Name	Facility Name Overflow	Facility Street	Owner Name 	Owner Name Overflow	Business Type	Original Issuance Date	Last Renewal Date	Expiration Date
39	7032249	BOBS BODY & FENDER  	                    	122 WEST ST         	ROBERT E NOWAK      	                    	RSB	11/06/1985	08/24/2015	10/31/2017
40	7052744	BUFFS SERVICE       	STATION             	75 SAND CREEK RD    	JEROME K BUFF       	                    	RS 	09/18/1990	08/18/2020	08/31/2022
41	7116086	BYRIDER             	                    	2017 CENTRAL AVENUE 	TCP ALBANY AUTO     	SALES LLC           	RS 	07/24/2013	05/06/2019	05/31/2021
42	3010253	CANNISTRACI AUTO INC	                    	124 WEST ST         	JOSEPH A CANNISTRACI	                    	RSB	05/19/1980	04/24/2020	05/31/2022
43	7030787	CAPITALAND AUTO &   	NATIONL TRCK RPR INC	22 KRAFT AV         	ERIC PEEK           	                    	RS 	07/12/1985	05/14/2019	06/30/2021
44	7099805	CAPITALAND AUTOBODY 	                    	21 ESSEX ST         	CAPITALAND CHWRKS   	INC                 	RS 	06/21/2005	05/31/2019	05/31/2021
45	7110239	CAPITAL CAR CARE INC	                    	76 EXCHANGE STREET  	ALBERTO L RODRIGUEZ 	                    	RS 	05/04/2010	04/06/2018	04/30/2020
46	7110232	CAPITAL DISTRICT    	AUTO                	1172 CENTRAL AVENUE 	G&A AUTO CARE INC   	                    	RS 	04/29/2010	01/27/2020	03/31/2022
47	7109610	CAPITAL VALLEY GLASS	LLC                 	1330 CENTRAL AVENUE 	PAUL J FERRI        	                    	RS 	01/15/2010	11/29/2017	12/31/2019
48	7091172	CAPITOL TECH AUTO   	REPAIR              	169 JEFFERSON ST    	DEREK WALSH         	                    	RS 	11/20/2001	10/02/2019	10/31/2021
49	7102046	CAPITOL VOLVO OF    	ALBANY              	347 NEW KARNER RD   	TEK AUTOMOTIVE GROUP	LLC                 	RS 	06/21/2006	05/28/2020	05/31/2022
50	3010751	CAR BODY SHOP       	                    	115 FIRST ST        	CARLOS A ROVITO     	                    	RSB	07/08/1980	06/11/2020	06/30/2022
51	3010721	CARMAN SUPPLY &     	LEASING CO INC      	4 ANDERSON DR       	BRENDA KRALOVICH    	                    	RS 	07/06/1984	05/20/2016	06/30/2018
52	7121871	CARMAX              	                    	1860 CENTRAL AVENUE 	CARMAX AUTO         	SUPERSTORES INC     	RS 	01/03/2017	11/26/2018	12/31/2020
53	7114726	CENTER TRANSPORTATIN	SERVICES INC        	700 SOUTH PEARL ST  	ALAN KRAFCHIN       	                    	RS 	09/12/2012	08/18/2020	08/31/2022
54	7124801	CENTRAL AUTO SERVICE	CENTER LLC          	551 CENTRAL AVENUE  	SAJID SAFI          	                    	RS 	11/13/2018	09/18/2020	10/31/2022
55	7051598	CENTRAL MOTORS      	                    	1022 CENTRAL AVE    	VINCENT PUGLIATTI   	                    	RS 	07/07/2000	03/20/2020	04/30/2022
56	7028551	CENTURY AUTOBODY    	REPAIR              	1054 CENTRAL AVE    	BELA SCHUCH         	                    	RSB	01/10/1985	01/08/2013	12/31/2014
57	7103465	CHAMPAGNE CARRIERS  	INC                 	7 BINGHAMTON STREET 	JOSEPH A CHAMPAGNE  	                    	RS 	02/20/2007	12/12/2012	01/31/2015
58	7114959	COLBY BODY AND      	FENDER WORKS        	709 THIRD STREET    	COLBY INETRNATIONAL 	INC                 	RSB	10/25/2012	08/07/2020	09/30/2022
59	7103219	COLEMAN AUTO REPAIR&	SALES               	40 GRANT AVE        	CLARENCE A COLEMAN  	JR                  	RS 	01/11/2007	01/02/2019	12/31/2020
60	7103122	COLES CONCIERGE     	COLLISION CENTER    	1904 CENTRAL AVE    	JNJC INC            	                    	RSB	12/18/2006	09/23/2014	11/30/2016
61	7120029	COLES CONCIERGE     	COLLISION CENTER    	1517 CENTRAL AVENUE 	JNJC INC            	                    	RSB	09/22/2015	06/13/2019	08/31/2021
62	3010031	COLONIE GARAGE INC  	                    	1334 CENTRAL AVE    	THEODORE MARBAKER   	                    	RS 	07/15/1980	04/24/2020	05/31/2022
63	7103952	CONSAUL AUTO CARE   	                    	252 CONSAUL RD      	BLACKLOCK & EGLIN   	ENTERPRISES INC     	RS 	05/02/2007	03/21/2019	04/30/2021
64	7081461	C&R AUTO SALES      	                    	44 CATHERINE ST     	CHRISTOPHER N       	RATTRAY             	RS 	07/02/2003	05/01/2020	04/30/2022
65	7077492	CRUZ AUTOMOTIVE     	SERVICE             	870 3RD STREET      	MANUEL CRUZ         	                    	RS 	02/04/2008	01/29/2018	01/31/2020
66	7063179	CUMMINS NORTHEAST   	LLC                 	101 RAILROAD AVE    	AMY DAVIS           	                    	RS 	05/26/1993	05/10/2019	04/30/2021
67	7108969	D&A AUTO REPAIR     	                    	58 WATERVLIET AVE   	ROMULO CASTILLO     	                    	RS 	09/16/2009	10/23/2019	08/31/2021
68	7097398	DEAN FOX AUTO       	SERVICES LLC        	179 SPRING STREET   	DEAN A FOX 3RD      	                    	RS 	10/08/2009	02/21/2020	04/30/2022
69	7058755	DELAWARE SERVICE    	                    	569 DELAWARE AV     	GROSS OPERATING CORP	                    	RS 	04/29/1992	03/02/2020	03/31/2022
70	3010116	DENOOYER CHEVROLET  	INC                 	127 WOLF RD         	JOEL DENOOYER       	                    	RS 	05/27/1980	03/16/2020	05/31/2022
71	3470408	DEPAULA CHEVROLET   	INC                 	785 CENTRAL AVENUE  	ANTHONY J DEPAULA   	                    	RS 	04/01/1980	01/24/2020	02/28/2022
72	7122247	DEPAULA FORD LLC    	                    	799 CENTRAL AVENUE  	ANTHONY DEPAULA     	                    	RS 	05/02/2017	04/09/2019	04/30/2021
73	7100673	DESTINATION KIA     	                    	760 CENTRAL AVE     	ADVANTAGE SUZUKI LLC	                    	RS 	11/03/2005	08/27/2019	10/31/2021
74	3010077	DESTINATION NISSAN  	                    	770 CENTRAL AVE     	DESTINATION 770 AUTO	INC                 	RS 	06/30/1980	04/24/2020	05/31/2022
75	7120095	DILLONS AUTO REPAIR 	LLC                 	629 THIRD STREET    	PAUL F DILLON       	                    	RS 	10/09/2015	08/28/2017	09/30/2019
76	3010239	D&S BODY REPAIR     	                    	465 JAY ST          	DOMINIC S PARATORE  	                    	RSB	03/19/1993	01/15/2019	02/28/2021
77	7046850	DUNBROOK LTD        	                    	442 MADISON AV      	GEORGE DUNBROOK     	                    	RS 	03/07/1989	01/30/2019	02/28/2021
78	7078927	EDK AUTOMOTIVE INC  	                    	103 WEST ST         	EDWARD F NEWELL 3RD 	                    	RS 	07/11/1997	06/25/2019	06/30/2021
79	3010234	EDW DOTTS GARAGE INC	                    	1177 CENTRAL AV     	LUCAS L DOTT        	                    	RS 	05/05/1980	04/24/2020	05/31/2022
80	3010120	EMPIRE AUTO RADIATOR	CO INC              	429 SECOND ST       	LARRY MERACLE       	                    	RS 	04/29/1980	06/01/2020	05/31/2022
81	7072178	ENSIGNS AUTOCARE    	CENTER              	73 SAND CREEK RD    	THOMAS LUCIAN ENSIGN	SR                  	RS 	03/09/2006	02/28/2020	02/28/2022
82	7111216	EUROPEAN REPAIRS INC	                    	11 ESSEX STREET     	MARINA SHUMERAY     	                    	RS 	11/04/2010	09/18/2020	10/31/2022
83	7060687	EVERETT AUTO REPAIR 	                    	34-36 EVERETT RD    	JOHN J WILSON JR    	ETAL                	RS 	10/14/1992	08/24/2020	09/30/2022
84	7119820	FAT BODY CUSTOMS LLC	                    	2011 CENTRAL AVENUE 	SHAWN A DENUE       	                    	RS 	08/05/2015		07/31/2017
85	3010237	FIRESTONE COMPLETE  	AUTO CARE           	188 CENTRAL AV      	BFS RETAIL &        	COMMERCIAL OPRTN LLC	RS 	07/22/1980	04/30/2020	05/31/2022
86	3010236	FIRESTONE COMPLETE  	AUTO CARE           	83 WOLF RD          	BFS RETAIL&         	COMMERCIAL OPRTN LLC	RS 	04/30/1980	04/30/2020	05/31/2022
87	7109483	FIRST RESPONSE      	ROADSIDE SERVICE LLC	240 CHURCH ST BOX 11	NICHOLAS W HOLMES   	                    	RS 	12/22/2009	12/04/2019	11/30/2021
88	3010174	FLEETPRIDE INC      	                    	586 BROADWAY        	GORDON ULSH         	                    	RS 	07/08/1980	03/13/2020	05/31/2022
89	7038365	FRANK FALZO AUTOBODY	INC                 	24B ESSEX ST        	FRANK FALZO         	                    	RSB	10/18/2011	09/30/2019	09/30/2021
90	3010110	GARYS GARAGE        	                    	8 A APOLLO DR       	GARY HICKOK         	                    	RS 	06/06/1980	05/16/2018	05/31/2020
91	7126701	GARYS GARAGE &      	TRANSPORT LLC       	8A APOLLO DRIVE     	HURWITZ M AARON     	                    	RS 	02/11/2020		01/31/2022
92	7110516	GATEWAY AUTO        	SERVICES INC        	102 ONTARIO STREET  	CRAIG O ROOPCHAND   	                    	RS 	06/22/2010	04/09/2014	05/31/2016
93	7117924	GATEWAY AUTO        	SERVICES INC        	102 ONTARIO STREET  	CANDICE F DE GANNES 	ROOPCHAND           	RS 	06/11/2014	04/15/2016	05/31/2018
94	7122289	GJJ AUTO SALES AND  	REPAIR INC          	284 CENTRAL AVE     	ISMAT FARHAN        	                    	RS 	05/11/2017	04/11/2019	04/30/2021
95	7002493	GOLDSTEIN BUICK GMC 	                    	PBX12130 1671 CTL AV	ALAN BUICK INC      	                    	RS 	11/25/1981	08/08/2019	10/31/2021
96	7109861	GOLDSTEIN MITSUBISHI	ALBANY              	1673 CENTRAL AVENUE 	ALAN BUICK INC      	                    	RS 	03/03/2010	01/22/2016	02/28/2018
97	3420306	GOLDSTEIN SUBARU    	                    	PBX12130 1754 CTL AV	GOLDSTEIN MOTORS INC	                    	RS 	07/19/1979	04/30/2020	06/30/2022
98	7116877	GONZALEZ AUTO REPAIR	                    	74 EXCHANGE ST      	ERIC R GONZALEZ     	                    	RS 	11/07/2013		10/31/2015
99	7123962	GOOD LUCK MOTORS AND	REPAIRS INC         	102 ONTARIO STREET  	USMAN RASHID        	                    	RS 	06/18/2018	04/24/2020	05/31/2022
100	3010192	GOODYEAR AUTO       	SERVICE CENTER      	46 WOLF RD          	GOODYEAR TIRE& RUBBR	CO                  	RS 	06/06/1980	05/04/2020	05/31/2022
101	3010064	GOVEL WELDING INC   	                    	1932 CENTRAL AVE    	GEORGE GOVEL        	                    	RS 	06/03/1980	04/24/2020	05/31/2022
102	3010121	HACKELS FOREIGN CAR 	SERVICE INC         	1372 CENTRAL AV     	ROBERT W HACKEL     	                    	RS 	08/26/1977	03/18/2019	04/30/2021
103	7089496	HAVILLS AUTOMOTIVE  	COLL & REPAIR CENTER	692 DELAWARE AV     	HAVILL HORN INC     	                    	RSB	03/26/2001	03/12/2019	02/28/2021
104	7113255	HAWKINS AUTO        	                    	199 SHERMAN STREET  	KEYAIRA HAWKINS     	                    	RS 	08/20/2014		10/31/2015
105	7122385	HIGHLINE MOTORS     	                    	127A VFW ROAD       	WHOLESALE CALIFORNA 	LLC                 	RS 	06/22/2017		05/31/2019
106	7116779	HI TEST GARAGE LLC  	                    	558 THIRD ST STE 1  	OZCAN IPEK          	                    	RS 	10/21/2013	07/09/2019	09/30/2021
107	3010144	HL GAGE SALES INC   	                    	121 WASHINGTON AV EX	J GARY HANS         	                    	RS 	09/04/1981	04/24/2020	05/31/2022
108	7124973	HUDSON RIVER CARS   	INC                 	347 WASHINGTON AVE  	MOHAMED ALFALAHI    	                    	RS 	01/02/2019		12/31/2020
109	7107994	HUNTERS AUTO SERVICE	INC                 	141 HUNTER AVENUE   	ANDREY SETCHENKOV   	                    	RS 	03/23/2009	02/19/2019	02/28/2021
110	7000460	HURKS TRANSMISSION &	AUTO REPAIR         	183 JEFFERSON ST    	MARK C BUECHS       	                    	RS 	01/26/1984	11/18/2019	12/31/2021
111	7047828	JA AUTO REPAIR      	                    	675 CLINTON AV      	JOSEPH ARNO         	                    	RS 	05/04/1989	03/27/2017	04/30/2019
112	7076213	JAMALAYE AUTO CORP  	                    	144 CATHERINE STREET	ALY DIAO            	                    	RS 	10/25/1996	08/07/2020	09/30/2022
113	7098675	JD TIRE             	                    	2040 CENTRAL AVE    	JD FOREIGN CAR SALES	INC                 	RS 	12/02/2004	10/05/2018	11/30/2020
