	Facility #	Business Type
318	3010310	RSB
319	7118334	RS 
320	7062287	RS 
321	7071457	RSB
322	7116299	RS 
323	3010238	RS 
324	7127413	RS 
325	7116717	RS 
326	3010684	RS 
327	7122299	RS 
328	3010191	RS 
329	7093376	RS 
330	7041427	RS 
331	7118444	RS 
332	7097893	RS 
333	3010151	RS 
334	7037632	RSB
335	7074909	RS 
336	3010509	RS 
337	7080212	RS 
338	7079865	RS 
339	3010123	RSB
340	7082856	RS 
341	3010011	RS 
342	7120469	RS 
343	7104200	RS 
344	7109700	RS 
345	3010160	RS 
346	7107268	RS 
347	7079235	RS 
348	7068419	RS 
349	3010020	RS 
350	7053910	RS 
351	7039418	RS 
352	3010205	RS 
353	7120337	RS 
354	7109068	RS 
355	7126586	RS 
356	3010507	RS 
357	7117021	RS 
358	7125952	RS 
359	3010209	RS 
360	7119275	RS 
361	7082168	RS 
362	7038551	RS 
363	7104036	RS 
364	7126718	RS 
365	7116455	RS 
366	7074838	RS 
367	7117081	RS 
368	7101603	RS 
369	3010719	RS 
370	7088045	RS 
371	7121429	RS 
372	7109230	RS 
373	7117383	RS 
374	7121047	RS 
375	7103015	RS 
376	7109062	RS 
377	7106372	RS 
378	3010610	RS 
379	7058861	RS 
380	7079600	RS 
381	7112139	RS 
382	7066237	RS 
383	7124064	RS 
384	7091610	RS 
385	7124661	RSB
386	7042313	RS 
387	7039644	RS 
388	7069696	RS 
389	7108586	RS 
390	7112041	RS 
391	3010339	RSB
392	7052483	RS 
393	7024429	RS 
394	7095039	RS 
395	7061617	RS 
396	7123614	RS 
397	3010270	RS 
398	7112560	RS 
399	7123209	RS 
400	7114662	RS 
401	7105669	RS 
402	7040553	RS 
403	3010152	RS 
404	7035418	RS 
405	7039796	RS 
406	7068592	RS 
407	3010297	RS 
408	7118289	RS 
409	7043812	RS 
410	7101392	RS 
411	7091602	RS 
412	7093158	RS 
413	7054351	RS 
414	7112936	RS 
415	7105310	RS 
416	7126854	RS 
417	3010317	RS 
418	7109592	RS 
419	7000017	RS 
420	7072848	RS 
421	7121940	RS 
422	7115463	RS 
423	7106832	RSB
424	7034683	RS 
425	3010741	RS 
426	7032204	RSB
427	7056110	RS 
428	7064335	RS 
429	7045659	RS 
430	7022045	RSB
431	3010570	RS 
432	7084955	RS 
433	7040648	RSB
434	7081423	RS 
435	7111281	RS 
436	3010613	RS 
437	7125755	RSB
438	7068274	RSB
439	7025853	RS 
440	7058527	RS 
441	7085266	RS 
442	7043044	RS 
443	7114135	RS 
444	7099031	RSB
445	7020691	RSB
446	7120139	RS 
447	7096295	RSB
448	7007940	RS 
449	7104520	RS 
450	7102605	RS 
451	7114132	RS 
452	7110075	RS 
453	7045955	RS 
454	7122844	RS 
455	7124857	RS 
456	7078240	RS 
457	7117425	RS 
458	7118699	RSB
459	7078891	RS 
460	7038556	RS 
461	7098742	RS 
462	7121981	RS 
463	7122374	RS 
464	7099690	RS 
465	7093815	RS 
466	7115720	RS 
467	7108779	RS 
468	7003359	RS 
469	7116954	RS 
470	7125562	RS 
471	7097548	RS 
472	7112952	RS 
473	5020004	RS 
474	7103833	RS 
475	7109737	RS 
476	7116340	RS 
477	7004806	RS 
478	7085559	RS 
479	7126271	RS 
480	7098584	RS 
481	7100579	RS 
482	5020028	RS 
483	7037330	RSB
484	7001377	RS 
485	7070153	RS 
486	7106096	RS 
487	7117201	RS 
488	7092834	RS 
489	5020179	RSB
490	7006062	RS 
491	7114058	RS 
492	7088737	RS 
493	7122672	RSB
494	7045111	RS 
495	7017204	RS 
496	5050299	RS 
497	7113644	RSB
498	7085497	RS 
499	7105180	RS 
500	7043417	RSB
501	7119498	RSB
502	7023327	RS 
503	7112096	RS 
504	7100281	RS 
505	7043852	RSB
506	7028634	RS 
507	7123840	RS 
508	7063199	RS 
509	7103473	RS 
510	7087750	RS 
511	7073212	RSB
512	7023752	RS 
513	7077961	RS 
514	7104410	RS 
515	7121063	RS 
516	7112700	RS 
517	5020009	RS 
518	7087608	RS 
519	7102806	RS 
520	7108413	RS 
521	7082922	RS 
522	7081182	RS 
523	7057846	RS 
524	7093392	RS 
525	7054810	RS 
526	7020780	RSB
527	7120613	RS 
528	7115451	RS 
529	7104802	RS 
530	7032238	RS 
531	7086508	RS 
532	7114906	RS 
533	7118497	RSB
534	7086667	RS 
535	7124696	RS 
536	7113587	RS 
537	7016846	RS 
538	7126091	RS 
539	7111352	RS 
540	7109461	RS 
541	5020015	RS 
542	7088165	RSB
543	5020128	RS 
544	7103775	RS 
545	7064591	RS 
546	7074598	RS 
547	7039263	RS 
548	7107497	RSB
549	7114086	RS 
550	7026287	RS 
551	7071523	RS 
552	7108239	RSB
553	7088765	RSB
554	7112754	RS 
555	5020016	RS 
556	7122926	RS 
557	7123589	RS 
558	7115936	RS 
559	7101113	RS 
560	7117261	RS 
561	7092683	RS 
562	7111592	RS 
563	7049166	RS 
564	7068266	RS 
565	7127054	RSB
566	7119735	RS 
567	7102988	RS 
568	7119065	RS 
569	7120202	RS 
570	7118440	RS 
571	7105105	RSB
572	7110631	RS 
573	7101987	RS 
574	7074612	RS 
575	7109615	RS 
576	7111776	RS 
577	7114679	RSB
578	7112730	RS 
579	7103188	RS 
580	7066819	RS 
581	7114281	RS 
582	7114283	RS 
583	7049852	RS 
584	7124768	RSB
585	7086548	RS 
586	7125095	RS 
587	7107396	RSB
588	7121018	RS 
589	7043405	RS 
590	7122881	RS 
591	7101005	RS 
592	7124858	RS 
593	7107551	RS 
594	7117510	RS 
595	7125004	RS 
596	7080000	RS 
597	7120970	RS 
598	7125171	RS 
599	7119079	RS 
600	7115900	RS 
601	7112133	RSB
602	7119604	RS 
603	7118902	RS 
604	7124870	RS 
605	7120433	RSB
606	2031212	RSB
607	7109346	RSB
608	7043190	RSB
609	7059255	RS 
610	7116415	RS 
611	2030656	RS 
612	7085382	RS 
613	2030434	RS 
614	7121443	RS 
615	7119507	RS 
616	7123609	RS 
617	7116068	RS 
618	7124972	RS 
619	7118630	RS 
620	7112186	RS 
621	7115043	RS 
622	7123884	RSB
623	7119306	RS 
624	7119228	RSB
625	7091504	RS 
626	7114141	RS 
627	7100249	RS 
628	7072847	RS 
629	7074064	RS 
630	7111846	RS 
631	7118375	RS 
632	7119776	RS 
633	7036478	RS 
634	7110497	RS 
635	7105107	RS 
636	7113561	RS 
637	7115713	RS 
638	7126036	RSB
639	7099249	RS 
640	7118209	RS 
641	7118582	RSB
642	7115860	RSB
643	7112919	RS 
644	7125713	RS 
645	7123984	RS 
646	7124651	RS 
647	7104602	RS 
648	7126430	RSB
649	7109685	RS 
650	7119263	RSB
651	7116667	RSB
652	7118892	RS 
653	7125145	RS 
654	7089119	RS 
655	7098203	RS 
656	7099365	RSB
657	7106432	RS 
658	7051290	RS 
659	7117141	RS 
660	7119681	RS 
661	7101705	RS 
662	7121800	RS 
663	7023556	RS 
664	7119964	RS 
665	7124096	RSB
666	7111541	RS 
667	7112800	RS 
668	7120103	RS 
669	7117299	RS 
670	7098325	RS 
671	7111149	RSB
672	7116520	RS 
673	7124327	RS 
674	7124885	RS 
675	7104894	RS 
676	7067971	RS 
677	7098830	RS 
678	7096245	RS 
679	7119524	RS 
680	7126188	RS 
681	7121799	RS 
682	7115293	RS 
683	7115292	RS 
684	7076717	RS 
685	7118670	RSB
686	7126507	RS 
687	7117630	RSB
688	7124321	RS 
689	7118992	RS 
690	7105170	RS 
691	7085426	RSB
692	2030985	RS 
693	7079980	RS 
694	7121974	RS 
695	7111332	RS 
696	7121999	RS 
697	7119434	RS 
698	7103087	RS 
699	2030425	RSB
700	7117838	RS 
701	7099832	RS 
702	7118876	RS 
703	7103043	RS 
704	7117379	RS 
705	2030354	RS 
706	7041924	RS 
707	7117537	RS 
708	7110669	RS 
709	7110964	RS 
710	2030031	RS 
711	7109746	RS 
712	7112370	RS 
713	7089263	RSB
714	7108865	RS 
715	7122072	RS 
716	7081611	RS 
717	7111114	RS 
718	7100992	RS 
719	7078295	RS 
720	7101970	RS 
721	7120361	RS 
722	7064462	RS 
723	7118012	RS 
724	7094014	RS 
725	2030574	RS 
726	2030353	RS 
727	7117905	RS 
728	7118814	RS 
729	7117804	RS 
730	7125156	RSB
731	7122402	RS 
732	7124773	RS 
733	7127400	RS 
734	7125957	RS 
735	7104191	RS 
736	7126327	RS 
737	7117309	RSB
738	7121966	RS 
739	7108288	RS 
740	7108890	RSB
741	7094138	RS 
742	7061722	RS 
743	7114849	RS 
744	7009009	RSB
745	7123118	RS 
746	7123401	RSB
747	7097000	RS 
748	7110105	RS 
749	7123998	RS 
750	7122396	RS 
751	7125140	RSB
752	7117015	RS 
753	7118935	RSB
754	7108443	RS 
755	7113366	RS 
756	7104439	RS 
757	7119544	RS 
758	7073102	RS 
759	7107095	RS 
760	7115928	RS 
761	7099736	RS 
762	7116768	RS 
763	7105249	RS 
764	7054619	RSB
765	7118140	RSB
766	7118423	RS 
767	7102345	RS 
768	7111844	RSB
769	7088824	RS 
770	7090215	RS 
771	7060496	RS 
772	7121107	RS 
773	7079243	RS 
774	7099068	RS 
775	7108494	RS 
776	7123607	RS 
777	7115307	RS 
778	7119317	RS 
779	7093040	RS 
780	7105995	RS 
781	7108823	RS 
782	7093167	RS 
783	7111228	RS 
784	7073718	RS 
785	7119880	RSB
786	7119527	RS 
787	7125354	RS 
788	7105940	RS 
789	7108916	RS 
790	7114894	RS 
791	7109764	RS 
792	7053195	RS 
793	7125584	RS 
794	7108765	RS 
795	7100258	RSB
796	7123088	RSB
797	7116301	RSB
798	7118502	RS 
799	7109972	RS 
800	7111722	RS 
801	7114440	RS 
802	7004859	RS 
803	2030479	RS 
804	7122495	RS 
805	7060835	RS 
806	7110220	RS 
807	7102354	RS 
808	7105698	RS 
809	7121809	RS 
810	7116762	RS 
811	2030677	RS 
812	7108379	RS 
813	7119543	RSB
814	7055186	RS 
815	7108748	RS 
816	7092375	RS 
817	7090885	RS 
818	7120292	RS 
819	7116460	RSB
820	7110772	RS 
821	7122411	RS 
822	7080286	RS 
823	7122307	RSB
824	7124827	RSB
825	7108772	RSB
826	7116110	RS 
827	7107138	RSB
828	7040310	RS 
829	7118403	RS 
830	7121645	RS 
831	7056602	RS 
832	7114293	RSB
833	7126314	RS 
834	7124994	RSB
835	7094049	RS 
836	7103621	RS 
837	7096675	RS 
838	7119606	RS 
839	7087918	RS 
840	7122840	RS 
841	7102571	RS 
842	7065154	RS 
843	7103674	RS 
844	7118690	RS 
845	7103354	RS 
846	7113534	RS 
847	7103781	RS 
848	7104538	RS 
849	7117002	RS 
850	7118584	RSB
851	7112561	RS 
852	7124988	RSB
853	7126022	RSB
854	7127530	RS 
855	7071992	RSB
856	7103027	RS 
857	2030101	RS 
858	7121684	RS 
859	7122201	RS 
860	7121190	RS 
861	7119872	RS 
862	7124895	RSB
863	7063142	RS 
864	7121893	RS 
865	7102016	RS 
866	7064706	RS 
867	7126342	RS 
868	7125831	RS 
869	7110210	RS 
870	7121469	RS 
871	7113701	RSB
872	7125472	RSB
873	7115165	RS 
874	7078301	RS 
875	7094444	RS 
876	7119997	RSB
877	7004671	RSB
878	2031236	RS 
879	7125849	RS 
880	7119676	RS 
881	7119724	RS 
882	7124749	RSB
883	7008863	RS 
884	7112826	RS 
885	7079320	RS 
886	7106568	RS 
887	7122051	RS 
888	7109278	RS 
889	7126676	RS 
890	7120190	RSB
891	7124691	RSB
892	7118678	RS 
893	7074023	RS 
894	7092221	RS 
895	7118934	RS 
896	7116180	RS 
897	7120530	RS 
898	7049102	RSB
899	7080367	RS 
900	7119319	RS 
901	7049077	RS 
902	7098390	RSB
903	7106660	RS 
904	7067919	RSB
905	7059319	RS 
906	7087612	RS 
907	7114820	RS 
908	7084559	RS 
909	7114151	RS 
910	7125768	RS 
911	7125720	RSB
912	7123096	RS 
913	7121111	RS 
914	7101191	RS 
915	7096704	RS 
916	7085185	RS 
917	7119227	RS 
918	7117244	RS 
919	7084896	RS 
920	7120299	RSB
921	7089656	RS 
922	7100007	RS 
923	2030865	RSB
924	7110195	RS 
925	7124067	RSB
926	7122129	RS 
927	7104570	RS 
928	7046964	RSB
929	2031051	RS 
930	7087727	RSB
931	7113373	RSB
932	7121223	RS 
933	7121895	RS 
934	7115898	RS 
935	7121806	RS 
936	7109977	RS 
937	7117909	RS 
938	7090447	RS 
939	7101979	RS 
940	7112928	RSB
941	7108285	RS 
942	7111630	RS 
943	7114899	RS 
944	7089616	RS 
945	7126576	RS 
946	7124734	RS 
947	7126629	RSB
948	7117441	RSB
949	7123514	RSB
950	7115432	RSB
951	7114624	RSB
952	7123546	RSB
953	7120785	RS 
954	7122262	RSB
955	7110998	RS 
956	7111833	RS 
957	7114120	RS 
958	7113734	RS 
959	7114382	RS 
960	7109842	RSB
961	7104846	RS 
962	7127303	RSB
963	7115269	RSB
964	7120842	RS 
965	7113533	RSB
966	7073366	RSB
967	7119977	RS 
968	7122938	RS 
969	7100076	RS 
970	7121537	RS 
971	7125671	RS 
972	7116087	RS 
973	7126819	RSB
974	7105739	RSB
975	2030533	RS 
976	2030250	RSB
977	7082943	RS 
978	7118768	RS 
979	7089823	RSB
980	7120867	RS 
981	7117454	RS 
982	7049119	RS 
983	7108973	RSB
984	7103985	RSB
985	7116688	RS 
986	7092669	RSB
987	7103205	RS 
988	7013731	RS 
989	7118303	RSB
990	7124291	RSB
991	7107754	RSB
992	2030140	RS 
993	7099086	RS 
994	2031064	RS 
995	7121951	RS 
996	7122625	RSB
997	7102869	RS 
998	7121680	RSB
999	7116265	RS 
1000	7119348	RS 
1001	7106494	RS 
1002	7123437	RSB
1003	7064860	RSB
1004	7108340	RS 
1005	7112777	RS 
1006	7107411	RS 
1007	7122472	RSB
1008	7117463	RS 
1009	7099540	RS 
1010	7109743	RS 
1011	2310196	RSB
1012	7125076	RSB
1013	7057791	RS 
1014	7118663	RS 
1015	7089204	RS 
1016	7114011	RS 
1017	7064314	RS 
1018	2030979	RS 
1019	7123237	RS 
1020	7119271	RSB
