	ID	OWNER
196	2504538	NON-PROFIT
197	4648624	NON-PROFIT
198	7349868	GOVERNMENT - LOCAL
199	1549862	NON-PROFIT
200	10902167	PROPRIETARY
201	5848843	NON-PROFIT
202	1649242	NON-PROFIT
203	10048071	NON-PROFIT
204	3049098	NON-PROFIT
205	5648858	NON-PROFIT
206	7949431	NON-PROFIT
207	14049079	NON-PROFIT
208	13248427	NON-PROFIT
209	14948202	NON-PROFIT
210	4256007	NON-PROFIT
211	14155009	NON-PROFIT
212	5056031	NON-PROFIT
213	10856087	NON-PROFIT
214	8665201	GOVERNMENT - FEDERAL
215	5158554	PROPRIETARY
216	2458533	NON-PROFIT
217	1446011	NON-PROFIT
218	9446601	NON-PROFIT
219	389128	PROPRIETARY
220	489119	PROPRIETARY
221	12119124	PROPRIETARY
222	13619107	NON-PROFIT
223	20819104	NON-PROFIT
224	21419130	NON-PROFIT
225	25019104	GOVERNMENT - FEDERAL
226	6017822	NON-PROFIT
227	182330115	NON-PROFIT
228	185631620	NOT AVAILABLE
229	5759501	NON-PROFIT
230	6929425	GOVERNMENT - DISTRICT/AUTHORITY
231	189830346	NOT AVAILABLE
232	522835	NON-PROFIT
233	14244266	NON-PROFIT
234	6878746	NON-PROFIT
235	19676104	NON-PROFIT
236	898356	GOVERNMENT - DISTRICT/AUTHORITY
237	194246032	NOT AVAILABLE
238	13753045	NON-PROFIT
239	6753132	NON-PROFIT
240	8153210	NON-PROFIT
241	6354476	NON-PROFIT
242	7853215	NON-PROFIT
243	9254501	NON-PROFIT
244	17545409	NON-PROFIT
245	10354481	NON-PROFIT
246	15454495	NON-PROFIT
247	5754401	NON-PROFIT
248	13253121	NON-PROFIT
249	13653027	NON-PROFIT
250	5153142	NON-PROFIT
251	6154241	NON-PROFIT
252	188346176	GOVERNMENT - LOCAL
253	35579408	NON-PROFIT
254	183446992	NON-PROFIT
255	187746307	NOT AVAILABLE
256	194147586	GOVERNMENT - LOCAL
257	14044481	NON-PROFIT
258	2944482	PROPRIETARY
259	3397031	NON-PROFIT
260	9360901	NON-PROFIT
261	497845	NON-PROFIT
262	2912601	NON-PROFIT
263	3214215	GOVERNMENT - DISTRICT/AUTHORITY
264	5514607	NON-PROFIT
265	6411030	NON-PROFIT
266	9344221	NON-PROFIT
267	6511554	GOVERNMENT - DISTRICT/AUTHORITY
268	7011510	NON-PROFIT
269	8313210	NON-PROFIT
270	8712550	NON-PROFIT
271	3303038	PROPRIETARY
272	9310924	NON-PROFIT
273	9912180	NON-PROFIT
274	10713676	NON-PROFIT
275	15298250	NON-PROFIT
276	10110960	NON-PROFIT
277	10912866	NON-PROFIT
278	1060035	NON-PROFIT
279	9960048	NON-PROFIT
280	12860010	NON-PROFIT
281	1961401	NON-PROFIT
282	3361401	NON-PROFIT
283	4960099	PROPRIETARY
284	1021205	NON-PROFIT
285	2321202	NON-PROFIT
286	3721215	NON-PROFIT
287	4121201	NON-PROFIT
288	11614843	NON-PROFIT
289	4821224	NON-PROFIT
290	2603743	NON-PROFIT
291	1403841	PROPRIETARY
292	1303867	NON-PROFIT
293	1003047	NON-PROFIT
294	2303060	NON-PROFIT
295	2403061	NON-PROFIT
296	3003103	NON-PROFIT
297	103301	NON-PROFIT
298	1203235	NON-PROFIT
299	11811968	NON-PROFIT
300	11911901	NON-PROFIT
301	12211743	NON-PROFIT
302	12311706	NON-PROFIT
303	9140504	NON-PROFIT
304	9540502	NON-PROFIT
305	12810901	NON-PROFIT
306	13112401	NON-PROFIT
307	13212428	NON-PROFIT
308	13614513	NON-PROFIT
309	14110522	NON-PROFIT
310	14510591	NON-PROFIT
311	11442754	NON-PROFIT
312	7341101	NON-PROFIT
313	14810595	NON-PROFIT
314	2962650	NON-PROFIT
315	3421740	NON-PROFIT
316	2640444	PROPRIETARY
317	15110532	GOVERNMENT - DISTRICT/AUTHORITY
318	15310466	NON-PROFIT
319	2440601	PROPRIETARY
320	15610467	GOVERNMENT - LOCAL
321	3521742	NON-PROFIT
322	16111212	NON-PROFIT
323	16211201	NON-PROFIT
